scenario,eta_ap,eta_cs,recommended_device,recommended_shortening_pct,n_sutures,ap_reduction_pct,physics_regurgitation_pct,jet_location,n_feasible,n_evaluated
eta_nominal,0.3,0.55,IMA-CS,20.0,0,11.0,0.3912,central,30,36
eta_minus_20pct,0.24,0.44,IMA-CS,20.0,0,8.8,0.3912,central,32,36
eta_plus_20pct,0.36,0.66,IMA-CS,20.0,0,13.2,0.3912,central,26,36
